Year,Community Area,0
2002,0.0,6
2002,1.0,6106
2002,2.0,4049
2002,3.0,6040
2002,4.0,2616
2002,5.0,2411
2002,6.0,6588
2002,7.0,6035
2002,8.0,12553
2002,9.0,323
2002,10.0,1467
2002,11.0,1441
2002,12.0,618
2002,13.0,1156
2002,14.0,3201
2002,15.0,4651
2002,16.0,4192
2002,17.0,2298
2002,18.0,924
2002,19.0,6400
2002,20.0,2106
2002,21.0,3607
2002,22.0,8919
2002,23.0,11236
2002,24.0,12341
2002,25.0,21115
2002,26.0,5595
2002,27.0,6359
2002,28.0,10855
2002,29.0,8720
2002,30.0,5917
2002,31.0,3546
2002,32.0,7292
2002,33.0,2745
2002,34.0,1356
2002,35.0,5348
2002,36.0,868
2002,37.0,1295
2002,38.0,6553
2002,39.0,2020
2002,40.0,3800
2002,41.0,2559
2002,42.0,5817
2002,43.0,10836
2002,44.0,6684
2002,45.0,1639
2002,46.0,6040
2002,47.0,470
2002,48.0,1759
2002,49.0,8801
2002,50.0,1359
2002,51.0,2129
2002,52.0,1720
2002,53.0,5541
2002,54.0,1995
2002,55.0,722
2002,56.0,3620
2002,57.0,1164
2002,58.0,3380
2002,59.0,1590
2002,60.0,2422
2002,61.0,7814
2002,62.0,1359
2002,63.0,3090
2002,64.0,1452
2002,65.0,2679
2002,66.0,8139
2002,67.0,10186
2002,68.0,9544
2002,69.0,7910
2002,70.0,3003
2002,71.0,8977
2002,72.0,1447
2002,73.0,4012
2002,74.0,831
2002,75.0,2768
2002,76.0,2240
2002,77.0,3771
2003,0.0,8
2003,1.0,7685
2003,2.0,5236
2003,3.0,7523
2003,4.0,3273
2003,5.0,3278
2003,6.0,8808
2003,7.0,7948
2003,8.0,15471
2003,9.0,427
2003,10.0,2087
2003,11.0,1869
2003,12.0,841
2003,13.0,1474
2003,14.0,4434
2003,15.0,6510
2003,16.0,5495
2003,17.0,3078
2003,18.0,1287
2003,19.0,8601
2003,20.0,3092
2003,21.0,4805
2003,22.0,11367
2003,23.0,15495
2003,24.0,15389
2003,25.0,30839
2003,26.0,7420
2003,27.0,9179
2003,28.0,15807
2003,29.0,12348
2003,30.0,7546
2003,31.0,5001
2003,32.0,9571
2003,33.0,3984
2003,34.0,1725
2003,35.0,6517
2003,36.0,894
2003,37.0,1937
2003,38.0,8571
2003,39.0,2937
2003,40.0,5244
2003,41.0,3308
2003,42.0,8059
2003,43.0,14630
2003,44.0,9370
2003,45.0,2298
2003,46.0,8380
2003,47.0,682
2003,48.0,2463
2003,49.0,11688
2003,50.0,2010
2003,51.0,2876
2003,52.0,2557
2003,53.0,7291
2003,54.0,2346
2003,55.0,1066
2003,56.0,4467
2003,57.0,1632
2003,58.0,4888
2003,59.0,2084
2003,60.0,3243
2003,61.0,10822
2003,62.0,1797
2003,63.0,4273
2003,64.0,1949
2003,65.0,3535
2003,66.0,11204
2003,67.0,13919
2003,68.0,12546
2003,69.0,10905
2003,70.0,3815
2003,71.0,12300
2003,72.0,1721
2003,73.0,5085
2003,74.0,1129
2003,75.0,3576
2003,76.0,2218
2003,77.0,4788
2004,0.0,16
2004,1.0,7610
2004,2.0,5760
2004,3.0,7445
2004,4.0,3358
2004,5.0,3135
2004,6.0,8655
2004,7.0,7308
2004,8.0,15760
2004,9.0,400
2004,10.0,1894
2004,11.0,1707
2004,12.0,776
2004,13.0,1509
2004,14.0,3801
2004,15.0,5929
2004,16.0,5160
2004,17.0,2801
2004,18.0,1036
2004,19.0,8146
2004,20.0,2841
2004,21.0,4829
2004,22.0,10655
2004,23.0,14541
2004,24.0,14156
2004,25.0,29489
2004,26.0,7880
2004,27.0,9192
2004,28.0,14768
2004,29.0,13370
2004,30.0,7894
2004,31.0,4763
2004,32.0,9307
2004,33.0,4357
2004,34.0,1652
2004,35.0,6846
2004,36.0,904
2004,37.0,1521
2004,38.0,7655
2004,39.0,2739
2004,40.0,5239
2004,41.0,3248
2004,42.0,8119
2004,43.0,14375
2004,44.0,9465
2004,45.0,2393
2004,46.0,8882
2004,47.0,735
2004,48.0,2552
2004,49.0,11810
2004,50.0,1920
2004,51.0,2636
2004,52.0,2408
2004,53.0,7888
2004,54.0,2258
2004,55.0,1003
2004,56.0,4522
2004,57.0,1619
2004,58.0,4724
2004,59.0,2080
2004,60.0,3127
2004,61.0,10119
2004,62.0,1714
2004,63.0,3901
2004,64.0,1912
2004,65.0,3560
2004,66.0,10977
2004,67.0,14121
2004,68.0,12959
2004,69.0,11592
2004,70.0,3964
2004,71.0,13150
2004,72.0,1743
2004,73.0,5336
2004,74.0,1097
2004,75.0,3636
2004,76.0,2095
2004,77.0,4898
2005,0.0,3
2005,1.0,7531
2005,2.0,5842
2005,3.0,7543
2005,4.0,3375
2005,5.0,2991
2005,6.0,7742
2005,7.0,6618
2005,8.0,14644
2005,9.0,461
2005,10.0,1748
2005,11.0,1610
2005,12.0,873
2005,13.0,1600
2005,14.0,3922
2005,15.0,5858
2005,16.0,5166
2005,17.0,2653
2005,18.0,1006
2005,19.0,8367
2005,20.0,2641
2005,21.0,4358
2005,22.0,9436
2005,23.0,14801
2005,24.0,12869
2005,25.0,28379
2005,26.0,8428
2005,27.0,8317
2005,28.0,13215
2005,29.0,12739
2005,30.0,7519
2005,31.0,4231
2005,32.0,8953
2005,33.0,4701
2005,34.0,1704
2005,35.0,6843
2005,36.0,880
2005,37.0,1393
2005,38.0,6404
2005,39.0,2908
2005,40.0,5184
2005,41.0,3286
2005,42.0,7874
2005,43.0,14429
2005,44.0,9654
2005,45.0,2384
2005,46.0,8288
2005,47.0,715
2005,48.0,2339
2005,49.0,11676
2005,50.0,1820
2005,51.0,2524
2005,52.0,2292
2005,53.0,7940
2005,54.0,2008
2005,55.0,928
2005,56.0,4107
2005,57.0,1614
2005,58.0,4441
2005,59.0,1908
2005,60.0,3131
2005,61.0,9648
2005,62.0,1621
2005,63.0,4329
2005,64.0,1822
2005,65.0,3235
2005,66.0,11518
2005,67.0,13676
2005,68.0,12198
2005,69.0,11207
2005,70.0,4032
2005,71.0,12820
2005,72.0,1744
2005,73.0,5336
2005,74.0,1046
2005,75.0,3563
2005,76.0,2076
2005,77.0,5016
2006,0.0,12
2006,1.0,7207
2006,2.0,6052
2006,3.0,6807
2006,4.0,3285
2006,5.0,2822
2006,6.0,7843
2006,7.0,6665
2006,8.0,14226
2006,9.0,437
2006,10.0,1822
2006,11.0,1805
2006,12.0,786
2006,13.0,1559
2006,14.0,4094
2006,15.0,5446
2006,16.0,5071
2006,17.0,2488
2006,18.0,1004
2006,19.0,7886
2006,20.0,2742
2006,21.0,4170
2006,22.0,9605
2006,23.0,13718
2006,24.0,13014
2006,25.0,28897
2006,26.0,8416
2006,27.0,8617
2006,28.0,12147
2006,29.0,12081
2006,30.0,7442
2006,31.0,4336
2006,32.0,8731
2006,33.0,4435
2006,34.0,1632
2006,35.0,6182
2006,36.0,801
2006,37.0,1521
2006,38.0,6022
2006,39.0,2359
2006,40.0,5193
2006,41.0,2681
2006,42.0,7893
2006,43.0,14837
2006,44.0,9109
2006,45.0,2317
2006,46.0,8967
2006,47.0,668
2006,48.0,2359
2006,49.0,12276
2006,50.0,1691
2006,51.0,2574
2006,52.0,2203
2006,53.0,7661
2006,54.0,1619
2006,55.0,965
2006,56.0,4214
2006,57.0,1648
2006,58.0,4651
2006,59.0,2004
2006,60.0,2975
2006,61.0,10066
2006,62.0,1745
2006,63.0,4104
2006,64.0,1825
2006,65.0,3559
2006,66.0,11740
2006,67.0,13712
2006,68.0,12313
2006,69.0,10969
2006,70.0,4304
2006,71.0,12155
2006,72.0,1529
2006,73.0,5556
2006,74.0,952
2006,75.0,3640
2006,76.0,2519
2006,77.0,4724
2007,0.0,6
2007,1.0,6809
2007,2.0,5270
2007,3.0,6395
2007,4.0,2846
2007,5.0,2634
2007,6.0,8003
2007,7.0,6916
2007,8.0,13884
2007,9.0,419
2007,10.0,1780
2007,11.0,1621
2007,12.0,746
2007,13.0,1504
2007,14.0,3708
2007,15.0,5347
2007,16.0,4709
2007,17.0,2693
2007,18.0,1063
2007,19.0,8042
2007,20.0,2630
2007,21.0,3887
2007,22.0,9195
2007,23.0,13062
2007,24.0,12343
2007,25.0,28542
2007,26.0,7936
2007,27.0,8413
2007,28.0,11617
2007,29.0,11352
2007,30.0,7702
2007,31.0,4308
2007,32.0,8716
2007,33.0,3649
2007,34.0,1223
2007,35.0,5468
2007,36.0,944
2007,37.0,1418
2007,38.0,5347
2007,39.0,2455
2007,40.0,4479
2007,41.0,2601
2007,42.0,8021
2007,43.0,14276
2007,44.0,9643
2007,45.0,2257
2007,46.0,8843
2007,47.0,735
2007,48.0,2349
2007,49.0,12620
2007,50.0,1953
2007,51.0,2741
2007,52.0,2100
2007,53.0,8049
2007,54.0,1529
2007,55.0,859
2007,56.0,3992
2007,57.0,1731
2007,58.0,4215
2007,59.0,1789
2007,60.0,2609
2007,61.0,9727
2007,62.0,1684
2007,63.0,3918
2007,64.0,1931
2007,65.0,3212
2007,66.0,11338
2007,67.0,13562
2007,68.0,12397
2007,69.0,11286
2007,70.0,4235
2007,71.0,13327
2007,72.0,1553
2007,73.0,5413
2007,74.0,963
2007,75.0,3655
2007,76.0,2466
2007,77.0,4248
2008,0.0,11
2008,1.0,6499
2008,2.0,5472
2008,3.0,6002
2008,4.0,2786
2008,5.0,2594
2008,6.0,8216
2008,7.0,6823
2008,8.0,13515
2008,9.0,473
2008,10.0,2003
2008,11.0,1778
2008,12.0,798
2008,13.0,1542
2008,14.0,3822
2008,15.0,5734
2008,16.0,4911
2008,17.0,2944
2008,18.0,1018
2008,19.0,8061
2008,20.0,2489
2008,21.0,3950
2008,22.0,8934
2008,23.0,13269
2008,24.0,12729
2008,25.0,27266
2008,26.0,7431
2008,27.0,7924
2008,28.0,11594
2008,29.0,11414
2008,30.0,7346
2008,31.0,4073
2008,32.0,8735
2008,33.0,3866
2008,34.0,1354
2008,35.0,4227
2008,36.0,960
2008,37.0,1405
2008,38.0,5392
2008,39.0,2334
2008,40.0,4237
2008,41.0,2245
2008,42.0,7140
2008,43.0,14256
2008,44.0,9248
2008,45.0,2333
2008,46.0,8021
2008,47.0,744
2008,48.0,2295
2008,49.0,12288
2008,50.0,1702
2008,51.0,2695
2008,52.0,2173
2008,53.0,7142
2008,54.0,1398
2008,55.0,971
2008,56.0,3659
2008,57.0,1586
2008,58.0,4180
2008,59.0,1795
2008,60.0,2659
2008,61.0,8976
2008,62.0,1727
2008,63.0,3973
2008,64.0,1910
2008,65.0,3274
2008,66.0,11266
2008,67.0,13544
2008,68.0,12441
2008,69.0,10501
2008,70.0,4319
2008,71.0,12888
2008,72.0,1656
2008,73.0,5026
2008,74.0,944
2008,75.0,3461
2008,76.0,2356
2008,77.0,4168
2009,0.0,5
2009,1.0,5963
2009,2.0,5230
2009,3.0,5190
2009,4.0,2640
2009,5.0,2432
2009,6.0,7762
2009,7.0,6120
2009,8.0,12280
2009,9.0,386
2009,10.0,1718
2009,11.0,1509
2009,12.0,753
2009,13.0,1313
2009,14.0,3583
2009,15.0,5296
2009,16.0,4664
2009,17.0,2699
2009,18.0,1099
2009,19.0,8323
2009,20.0,2475
2009,21.0,3877
2009,22.0,8697
2009,23.0,12775
2009,24.0,11797
2009,25.0,26043
2009,26.0,6396
2009,27.0,7171
2009,28.0,10369
2009,29.0,10432
2009,30.0,6335
2009,31.0,3653
2009,32.0,8069
2009,33.0,2270
2009,34.0,1241
2009,35.0,3177
2009,36.0,857
2009,37.0,1160
2009,38.0,5302
2009,39.0,2320
2009,40.0,4237
2009,41.0,2102
2009,42.0,6889
2009,43.0,13071
2009,44.0,8351
2009,45.0,2017
2009,46.0,7600
2009,47.0,610
2009,48.0,2113
2009,49.0,11330
2009,50.0,1488
2009,51.0,2578
2009,52.0,2094
2009,53.0,6759
2009,54.0,1402
2009,55.0,819
2009,56.0,3278
2009,57.0,1651
2009,58.0,3893
2009,59.0,1759
2009,60.0,2543
2009,61.0,8203
2009,62.0,1624
2009,63.0,3949
2009,64.0,1664
2009,65.0,3099
2009,66.0,10459
2009,67.0,11532
2009,68.0,10723
2009,69.0,9698
2009,70.0,3742
2009,71.0,11771
2009,72.0,1409
2009,73.0,4720
2009,74.0,895
2009,75.0,3373
2009,76.0,2136
2009,77.0,3615
2010,0.0,3
2010,1.0,5579
2010,2.0,4890
2010,3.0,5075
2010,4.0,2560
2010,5.0,2062
2010,6.0,7462
2010,7.0,5798
2010,8.0,11597
2010,9.0,305
2010,10.0,1444
2010,11.0,1399
2010,12.0,697
2010,13.0,1190
2010,14.0,3549
2010,15.0,4641
2010,16.0,4531
2010,17.0,2351
2010,18.0,899
2010,19.0,7594
2010,20.0,2417
2010,21.0,3745
2010,22.0,8169
2010,23.0,11837
2010,24.0,11368
2010,25.0,24301
2010,26.0,6379
2010,27.0,6962
2010,28.0,9810
2010,29.0,10863
2010,30.0,6298
2010,31.0,3496
2010,32.0,7840
2010,33.0,2000
2010,34.0,1368
2010,35.0,2936
2010,36.0,861
2010,37.0,1215
2010,38.0,4687
2010,39.0,2301
2010,40.0,4055
2010,41.0,2238
2010,42.0,6486
2010,43.0,12325
2010,44.0,7514
2010,45.0,1832
2010,46.0,6786
2010,47.0,460
2010,48.0,2101
2010,49.0,10381
2010,50.0,1377
2010,51.0,2625
2010,52.0,1856
2010,53.0,5980
2010,54.0,1396
2010,55.0,769
2010,56.0,2591
2010,57.0,1357
2010,58.0,3537
2010,59.0,1485
2010,60.0,2448
2010,61.0,7745
2010,62.0,1395
2010,63.0,3950
2010,64.0,1399
2010,65.0,2772
2010,66.0,10524
2010,67.0,11225
2010,68.0,10166
2010,69.0,9375
2010,70.0,3476
2010,71.0,10670
2010,72.0,1287
2010,73.0,4549
2010,74.0,917
2010,75.0,3162
2010,76.0,1895
2010,77.0,3674
